Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2024.04.23 09:13:35;Buy;0.01;EURUSD;1.06441;0.01;2024.04.23 10:26:19;1.06651;;;2.1
2024.02.09 17:32:32;Sell;0.01;GBPJPY;188.604;0.01;2024.04.18 09:22:28;192.377;;-20.28;-24.48
2024.04.12 09:50:23;Buy;0.01;EURUSD;1.06852;0.01;2024.04.18 09:05:18;1.06841;;-0.59;-0.11
2024.04.12 13:48:02;Buy;0.01;EURUSD;1.06512;0.01;2024.04.18 09:05:17;1.06842;;-0.59;3.3
2024.04.16 05:17:02;Sell;0.02;USDCAD;1.38091;0.02;2024.04.18 06:58:13;1.378115;;-0.2;4.069999999999999
2024.04.15 21:43:00;Sell;0.01;USDCAD;1.37813;0.01;2024.04.17 21:05:24;1.37745;;-0.1;0.49
2024.04.16 17:00:02;Sell;0.01;USDCAD;1.38418;0.01;2024.04.17 21:04:44;1.37738;;-0.05;4.9399999999999995
2024.04.16 05:32:02;Sell;0.01;USDCAD;1.3810799999999999;0.01;2024.04.17 21:04:44;1.37738;;-0.05;2.69
2024.04.16 04:16:00;Buy;0.01;EURUSD;1.0609;0.01;2024.04.17 21:04:25;1.06701;;-0.1;6.11
2024.04.04 13:49:35;Sell;0.01;AUDCAD;0.89233;0.01;2024.04.16 03:55:40;0.88655;;;4.19
2024.04.03 19:50:07;Sell;0.01;AUDCAD;0.88807;0.01;2024.04.16 03:38:44;0.887;;;0.78
2024.04.12 17:16:02;Buy;0.01;EURUSD;1.06276;0.01;2024.04.15 09:34:50;1.06612;;-0.1;3.36
2024.04.08 07:09:53;Sell;0.01;AUDCAD;0.89452;0.01;2024.04.12 20:35:49;0.88997;;;3.3
2024.04.08 16:57:16;Sell;0.01;AUDCAD;0.89767;0.01;2024.04.11 08:00:29;0.89165;;;4.4
2024.04.04 08:41:04;Sell;0.01;AUDCAD;0.89037;0.01;2024.04.10 17:08:16;0.891;;;-0.46
2024.04.09 15:33:01;Sell;0.01;AUDCAD;0.8994;0.01;2024.04.10 17:08:01;0.8909;;;6.23
2024.04.01 06:52:29;Sell;0.02;AUDNZD;1.09052;0.02;2024.04.10 16:46:29;1.08813;;;2.87
2024.04.09 19:59:16;Sell;0.01;AUDCAD;0.89901;0.01;2024.04.10 15:33:08;0.89509;;;2.87
2024.04.09 19:23:21;Sell;0.01;AUDCAD;0.89927;0.01;2024.04.10 15:33:08;0.89508;;;3.07
2024.04.10 02:33:04;Sell;0.01;AUDCAD;0.89969;0.01;2024.04.10 15:32:03;0.89549;;;3.08
2024.04.03 17:41:12;Sell;0.01;AUDNZD;1.09305;0.01;2024.04.10 15:30:23;1.08854;;;2.73
2024.04.04 13:42:22;Sell;0.01;AUDNZD;1.09387;0.01;2024.04.10 15:16:32;1.08913;;;2.88
2024.04.04 15:19:24;Sell;0.01;AUDNZD;1.09465;0.01;2024.04.10 15:16:07;1.08912;;;3.36
2024.03.28 14:36:46;Buy;0.01;NZDCAD;0.80988;0.01;2024.04.03 20:25:54;0.81288;;-0.04;2.22
2024.04.01 06:53:11;Buy;0.01;NZDCAD;0.80937;0.01;2024.04.03 20:19:27;0.8127;;-0.02;2.46
2024.04.01 22:13:00;Buy;0.01;NZDCAD;0.80802;0.01;2024.04.03 19:47:10;0.81225;;-0.02;3.13
2024.04.01 19:23:26;Buy;0.01;NZDCAD;0.80711;0.01;2024.04.03 08:21:47;0.81061;;-0.02;2.58
2024.03.20 07:43:28;Sell;0.01;GBPJPY;192.711;0.01;2024.04.02 18:41:03;190.605;;-3.79;13.89
2024.03.29 10:00:19;Buy;0.01;NZDCAD;0.80914;0.01;2024.03.29 12:45:04;0.80954;;;0.3
2024.03.28 09:41:26;Sell;0.01;USDCAD;1.3593199999999999;0.01;2024.03.28 20:33:53;1.354;;;3.93
2024.03.27 14:41:55;Sell;0.01;USDCAD;1.3603399999999999;0.01;2024.03.27 22:04:16;1.35694;;;2.51
2024.03.19 07:09:55;Sell;0.01;CHFJPY;169.143;0.01;2024.03.27 14:00:41;166.663;;-0.95;16.4
2024.03.21 02:52:55;Sell;0.01;AUDNZD;1.08607;0.01;2024.03.27 10:15:05;1.08702;;;-0.57
2024.03.22 10:01:28;Buy;0.01;NZDCAD;0.81503;0.01;2024.03.26 10:00:05;0.81698;;-0.02;1.44
2024.03.22 08:03:18;Sell;0.02;USDCAD;1.35584;0.02;2024.03.26 08:43:09;1.35715;;-0.1;-1.93
2024.03.22 19:22:01;Sell;0.01;USDCAD;1.36086;0.01;2024.03.26 08:43:06;1.35778;;-0.1;2.27
2024.03.21 03:32:27;Sell;0.01;AUDNZD;1.0866;0.01;2024.03.22 10:43:09;1.08472;;;1.13
2024.03.19 11:18:16;Sell;0.01;EURJPY;163.186;0.01;2024.03.22 10:41:35;163.765;;-1;-3.82
2024.03.20 20:00:06;Sell;0.01;EURUSD;1.08854;0.01;2024.03.22 10:41:11;1.0814;;0.04;7.14
2024.03.21 02:56:24;Sell;0.02;EURUSD;1.09341;0.02;2024.03.22 07:48:41;1.085085;;0.01;16.65
2024.03.21 08:07:44;Sell;0.01;AUDNZD;1.08718;0.01;2024.03.22 04:30:06;1.08549;;;1.02
2024.03.20 20:52:30;Sell;0.01;EURUSD;1.09085;0.01;2024.03.21 17:09:26;1.08712;;0.03;3.73
2024.03.20 22:08:21;Sell;0.01;EURJPY;165.214;0.01;2024.03.21 03:22:03;164.451;;-0.6;5.07
2024.03.20 21:05:11;Sell;0.01;EURJPY;164.766;0.01;2024.03.21 03:22:03;164.452;;-0.6;2.09
2024.03.20 21:47:02;Sell;0.08;EURJPY;165.033;0.08;2024.03.21 03:10:03;164.497;;-4.82;28.52
2024.03.20 06:16:02;Sell;0.04;EURJPY;164.601;0.04;2024.03.21 03:10:03;164.497;;-2.41;2.77
2024.03.20 02:04:01;Sell;0.02;EURJPY;164.19;0.02;2024.03.21 03:10:03;164.497;;-1.21;-4.08
2024.03.19 18:33:03;Sell;0.01;EURJPY;163.794;0.01;2024.03.21 03:10:03;164.497;;-0.8;-4.68
2024.03.20 20:24:33;Sell;0.01;EURJPY;164.91;0.01;2024.03.20 20:37:59;164.454;;;3.02
2024.03.19 15:49:40;Sell;0.01;USDCAD;1.36089;0.01;2024.03.19 17:55:54;1.35812;;;2.04
2024.03.19 10:12:05;Buy;0.01;NZDCAD;0.82019;0.01;2024.03.19 14:33:29;0.82296;;;2.04
2024.03.14 12:22:05;Sell;0.02;EURUSD;1.09429;0.02;2024.03.19 11:09:03;1.086665;;0.03;15.25
2024.03.04 09:01:13;Sell;0.01;CHFJPY;170.308;0.01;2024.03.11 15:54:34;167.292;;-0.84;20.53
2024.03.08 12:42:10;Sell;0.01;AUDCAD;0.89295;0.01;2024.03.11 11:00:09;0.89124;;;1.27
2024.03.08 12:42:10;Sell;0.01;AUDCAD;0.89295;0.01;2024.03.11 10:43:34;0.89129;;;1.23
2024.03.08 12:42:09;Sell;0.01;AUDCAD;0.89295;0.01;2024.03.11 10:43:33;0.89131;;;1.22
2024.03.08 12:42:09;Sell;0.01;AUDCAD;0.89295;0.01;2024.03.11 10:43:33;0.89129;;;1.23
2024.03.08 12:42:11;Sell;0.01;AUDCAD;0.89295;0.01;2024.03.08 20:03:15;0.89296;;;-0.01
2024.03.08 12:42:10;Sell;0.01;AUDCAD;0.89295;0.01;2024.03.08 20:03:08;0.89297;;;-0.01
2024.02.21 18:18:01;Sell;0.01;EURJPY;162.47;0.01;2024.02.29 16:54:52;162.256;;-2.02;1.43
2024.02.22 10:16:02;Sell;0.02;EURJPY;163.299;0.02;2024.02.29 16:54:38;162.266;;-2.81;13.81
2024.01.11 10:13:20;Sell;0.01;CHFJPY;170.951;0.01;2024.02.29 16:54:34;170.153;;-4.59;5.33
2024.02.23 10:02:03;Sell;0.01;AUDJPY;99.043;0.01;2024.02.28 14:56:25;97.845;;-0.36;7.95
2024.02.26 13:25:02;Sell;0.01;EURJPY;163.445;0.01;2024.02.27 12:10:12;162.938;;-0.2;3.37
2024.01.24 09:39:31;Buy;0.01;AUDUSD;0.65837;0.01;2024.02.20 16:56:27;0.65676;;-1.53;-1.6099999999999999
2024.02.05 01:14:01;Buy;0.01;AUDCAD;0.87469;0.01;2024.02.20 15:30:01;0.88596;;-0.77;8.34
2024.02.13 22:15:03;Buy;0.03;AUDUSD;0.64468;0.03;2024.02.20 12:30:39;0.6544133333333333;;-1.07;29.200000000000003
2024.02.02 20:00:02;Buy;0.01;AUDUSD;0.65089;0.01;2024.02.16 12:24:16;0.65243;;-0.82;1.54
2023.11.20 15:11:20;Buy;0.01;CADCHF;0.64479;0.01;2024.02.08 14:23:46;0.64846;;;4.2
2024.02.05 22:57:28;Buy;0.01;GBPUSD;1.2537;0.01;2024.02.06 17:20:02;1.2583;;-0.06;4.6
2024.02.01 15:35:52;Buy;0.01;AUDNZD;1.06982;0.01;2024.02.02 03:30:06;1.07122;;-0.06;0.86
2024.02.01 11:51:31;Buy;0.01;AUDUSD;0.65242;0.01;2024.02.01 18:05:03;0.65498;;;2.56
2024.01.23 13:23:46;Buy;0.01;NZDCAD;0.81948;0.01;2024.01.23 23:45:27;0.82095;;;1.09
2024.01.23 19:23:14;Buy;0.01;NZDCAD;0.81832;0.01;2024.01.23 23:45:26;0.82094;;;1.95
2024.01.22 20:39:26;Buy;0.01;NZDCAD;0.81961;0.01;2024.01.23 08:40:33;0.82196;;-0.02;1.75
2024.01.22 10:32:46;Buy;0.01;NZDCAD;0.81999;0.01;2024.01.23 08:40:33;0.82196;;-0.02;1.46
2024.01.22 22:13:40;Buy;0.01;NZDCAD;0.81879;0.01;2024.01.23 08:40:32;0.82196;;-0.02;2.35
2024.01.22 09:37:01;Buy;0.01;NZDCAD;0.82031;0.01;2024.01.23 08:40:32;0.82195;;-0.02;1.22
2024.01.22 10:15:09;Buy;0.02;NZDCAD;0.82085;0.02;2024.01.23 08:40:31;0.82196;;-0.04;1.65
2024.01.23 04:02:52;Buy;0.02;NZDCAD;0.8207;0.02;2024.01.23 08:39:47;0.82185;;;1.71
2024.01.22 10:11:05;Sell;0.01;AUDNZD;1.07867;0.01;2024.01.22 12:50:37;1.07709;;;0.97
2024.01.19 11:57:35;Sell;0.01;AUDNZD;1.0782;0.01;2024.01.22 03:15:05;1.07744;;-0.02;0.47
2024.01.19 17:07:14;Buy;0.01;NZDCAD;0.82136;0.01;2024.01.22 03:07:35;0.82347;;-0.02;1.5699999999999998
2024.01.19 16:59:25;Buy;0.01;NZDCAD;0.82244;0.01;2024.01.22 03:07:35;0.82346;;-0.02;0.76
2024.01.19 15:25:51;Sell;0.01;AUDNZD;1.07879;0.01;2024.01.22 01:45:06;1.07807;;-0.02;0.44
2024.01.19 04:04:01;Sell;0.01;EURJPY;161.525;0.01;2024.01.19 11:04:11;161.009;;;3.49
2024.01.17 17:07:01;Sell;0.01;EURJPY;161.122;0.01;2024.01.19 11:04:11;161.009;;-0.16;0.76
2024.01.17 15:31:41;Buy;0.01;AUDCAD;0.88488;0.01;2024.01.18 17:56:41;0.88574;;-0.09;0.64
2024.01.17 15:30:08;Buy;0.01;AUDCAD;0.88487;0.01;2024.01.18 17:56:36;0.88581;;-0.09;0.7
2024.01.17 15:30:11;Buy;0.01;AUDCAD;0.88497;0.01;2024.01.18 17:56:29;0.88588;;-0.09;0.67
2024.01.17 16:47:44;Buy;0.01;AUDCAD;0.88386;0.01;2024.01.18 17:56:23;0.88592;;-0.09;1.52
