Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2024.04.19 17:06:50;Buy;0.01;XAUUSD;2383.25;0.01;2024.04.19 17:56:15;2388.84;;;5.59
2024.04.19 17:06:53;Buy;0.01;XAUUSD;2383.12;0.01;2024.04.19 17:21:28;2389.9;;;6.78
2024.04.19 16:18:47;Buy;0.02;XAUUSD;2377.72;0.02;2024.04.19 16:59:55;2377.8;;;0.16
2024.04.19 11:09:17;Buy;0.01;XAUUSD;2382.46;0.01;2024.04.19 14:04:11;2377.27;;;-5.19
2024.04.18 18:22:51;Sell;0.01;XAUUSD;2383.09;0.01;2024.04.19 04:04:32;2383.06;;-0.03;0.03
2024.04.18 17:17:05;Sell;0.02;XAUUSD;2383.11;0.02;2024.04.18 17:45:03;2375.78;;;14.66
2024.04.17 19:50:48;Buy;0.02;XAUUSD;2367.59;0.02;2024.04.17 21:23:50;2375.47;;;15.76
2024.04.17 19:40:15;Buy;0.02;XAUUSD;2371.43;0.02;2024.04.17 19:43:25;2367.48;;;-7.9
2024.04.17 15:43:13;Buy;0.02;XAUUSD;2379.35;0.02;2024.04.17 19:33:33;2375.05;;;-8.6
2024.04.16 17:24:36;Buy;0.02;XAUUSD;2367.06;0.02;2024.04.16 18:03:00;2387.541;;;40.96
2024.04.16 17:08:25;Buy;0.01;XAUUSD;2368.69;0.01;2024.04.16 17:23:59;2363.48;;;-5.21
2024.04.16 13:51:54;Buy;0.01;XAUUSD;2370.04;0.01;2024.04.16 17:23:59;2363.48;;;-6.5600000000000005
2024.04.16 10:23:23;Sell;0.03;XAUUSD;2371.61;0.03;2024.04.16 10:29:03;2370.47;;;3.42
2024.04.15 16:35:52;Buy;0.01;XAUUSD;2354.04;0.01;2024.04.15 16:42:53;2344.65;;;-9.39
2024.04.15 12:54:44;Buy;0.04;XAUUSD;2348.77;0.04;2024.04.15 13:53:36;2353.03;;;17.04
2024.04.15 12:19:33;Buy;0.02;XAUUSD;2349.74;0.02;2024.04.15 13:53:36;2353.03;;;6.58
2024.04.15 12:13:30;Sell;0.02;XAUUSD;2348.96;0.02;2024.04.15 12:19:30;2349.63;;;-1.34
2024.04.15 12:01:53;Buy;0.02;XAUUSD;2353.07;0.02;2024.04.15 12:13:26;2349.3;;;-7.54
2024.04.15 10:03:29;Buy;0.02;XAUUSD;2352.83;0.02;2024.04.15 11:34:19;2346.23;;;-13.2
2024.04.12 18:11:22;Sell;0.04;XAUUSD;2419.5;0.04;2024.04.12 18:13:11;2413.02;;;25.92
2024.04.12 18:11:26;Sell;0.04;XAUUSD;2419.17;0.04;2024.04.12 18:12:26;2414.91;;;17.04
2024.04.12 18:11:27;Sell;0.04;XAUUSD;2418.93;0.04;2024.04.12 18:12:24;2414.42;;;18.04
2024.04.12 18:10:40;Buy;0.04;XAUUSD;2421.37;0.04;2024.04.12 18:11:15;2419.98;;;-5.5600000000000005
2024.04.12 18:09:50;Buy;0.04;XAUUSD;2422.82;0.04;2024.04.12 18:10:17;2420.75;;;-8.28
2024.04.12 18:08:40;Buy;0.04;XAUUSD;2423.63;0.04;2024.04.12 18:09:23;2422.02;;;-6.44
2024.04.12 17:59:24;Buy;0.04;XAUUSD;2425.45;0.04;2024.04.12 18:05:24;2428.6;;;12.6
2024.04.12 17:58:08;Sell;0.04;XAUUSD;2425.56;0.04;2024.04.12 17:58:29;2427.22;;;-6.64
2024.04.12 17:57:14;Sell;0.04;XAUUSD;2424.32;0.04;2024.04.12 17:58:01;2426.74;;;-9.68
2024.04.12 17:46:13;Sell;0.04;XAUUSD;2417.98;0.04;2024.04.12 17:47:56;2417.12;;;3.44
2024.04.12 17:35:51;Buy;0.04;XAUUSD;2414.21;0.04;2024.04.12 17:38:14;2415.26;;;4.2
2024.04.12 16:40:07;Buy;0.04;XAUUSD;2396.78;0.04;2024.04.12 16:41:07;2395.2;;;-6.32
2024.04.12 16:13:05;Buy;0.04;XAUUSD;2394.97;0.04;2024.04.12 16:21:49;2396.65;;;6.72
2024.04.12 16:09:08;Buy;0.04;XAUUSD;2396.08;0.04;2024.04.12 16:12:41;2394.71;;;-5.48
2024.04.12 15:50:06;Buy;0.04;XAUUSD;2392.62;0.04;2024.04.12 15:51:43;2394.58;;;7.84
2024.04.12 15:48:11;Buy;0.04;XAUUSD;2393.62;0.04;2024.04.12 15:49:51;2392.4;;;-4.88
2024.04.12 15:11:28;Buy;0.04;XAUUSD;2392.1;0.04;2024.04.12 15:23:35;2394.92;;;11.28
2024.04.12 15:08:38;Buy;0.04;XAUUSD;2393.3;0.04;2024.04.12 15:10:59;2391.98;;;-5.28
2024.04.12 15:00:31;Sell;0.04;XAUUSD;2394.89;0.04;2024.04.12 15:07:21;2392.68;;;8.84
2024.04.12 14:36:45;Buy;0.04;XAUUSD;2391.6;0.04;2024.04.12 14:54:34;2394.59;;;11.96
2024.04.12 14:32:28;Sell;0.04;XAUUSD;2391.9;0.04;2024.04.12 14:36:33;2391.77;;;0.52
2024.04.12 14:19:19;Buy;0.04;XAUUSD;2394.28;0.04;2024.04.12 14:32:25;2391.72;;;-10.24
2024.04.12 14:18:25;Sell;0.04;XAUUSD;2392.46;0.04;2024.04.12 14:19:17;2394.02;;;-6.24
2024.04.12 14:06:49;Buy;0.04;XAUUSD;2396.25;0.04;2024.04.12 14:17:09;2394.53;;;-6.88
2024.04.12 14:05:09;Buy;0.04;XAUUSD;2396.88;0.04;2024.04.12 14:06:02;2395.71;;;-4.68
2024.04.12 13:30:57;Sell;0.04;XAUUSD;2399.39;0.04;2024.04.12 14:04:57;2397.17;;;8.88
2024.04.12 13:30:34;Sell;0.04;XAUUSD;2399.65;0.04;2024.04.12 13:57:27;2397.39;;;9.04
2024.04.12 13:27:06;Sell;0.04;XAUUSD;2398.4;0.04;2024.04.12 13:30:14;2400.05;;;-6.6
2024.04.12 12:53:02;Sell;0.04;XAUUSD;2399.49;0.04;2024.04.12 13:30:05;2400.06;;;-2.2800000000000002
2024.04.12 13:24:25;Sell;0.04;XAUUSD;2397.35;0.04;2024.04.12 13:26:41;2398.5;;;-4.6
2024.04.12 12:22:32;Buy;0.04;XAUUSD;2394.92;0.04;2024.04.12 12:51:30;2398.8;;;15.52
2024.04.12 12:22:33;Buy;0.04;XAUUSD;2394.91;0.04;2024.04.12 12:51:29;2398.74;;;15.32
2024.04.12 12:22:33;Buy;0.04;XAUUSD;2395.035;0.04;2024.04.12 12:51:28;2398.75;;;14.86
2024.04.12 12:20:02;Sell;0.04;XAUUSD;2394.11;0.04;2024.04.12 12:22:31;2394.895;;;-3.14
2024.04.12 12:19:49;Sell;0.04;XAUUSD;2394.11;0.04;2024.04.12 12:22:31;2394.97;;;-3.44
2024.04.12 12:20:03;Sell;0.04;XAUUSD;2394.08;0.04;2024.04.12 12:22:30;2394.78;;;-2.8
2024.04.12 12:18:12;Buy;0.04;XAUUSD;2395.53;0.04;2024.04.12 12:19:47;2393.92;;;-6.44
2024.04.12 12:19:16;Buy;0.04;XAUUSD;2394.88;0.04;2024.04.12 12:19:46;2393.95;;;-3.7199999999999998
2024.04.12 12:18:13;Buy;0.04;XAUUSD;2395.52;0.04;2024.04.12 12:19:46;2393.95;;;-6.28
2024.04.12 12:15:26;Buy;0.04;XAUUSD;2396.22;0.04;2024.04.12 12:17:52;2395.02;;;-4.8
2024.04.12 12:15:26;Buy;0.04;XAUUSD;2396.44;0.04;2024.04.12 12:17:51;2395.05;;;-5.5600000000000005
2024.04.12 11:55:14;Sell;0.04;XAUUSD;2397.45;0.04;2024.04.12 12:15:21;2396.2;;;5
2024.04.12 11:55:13;Sell;0.04;XAUUSD;2397.57;0.04;2024.04.12 12:15:21;2396.2;;;5.48
2024.04.12 11:46:45;Buy;0.04;XAUUSD;2395.86;0.04;2024.04.12 11:54:38;2397.52;;;6.64
2024.04.12 11:46:44;Buy;0.04;XAUUSD;2395.86;0.04;2024.04.12 11:54:38;2397.52;;;6.64
2024.04.12 11:46:45;Buy;0.04;XAUUSD;2395.7;0.04;2024.04.12 11:54:37;2397.52;;;7.28
2024.04.12 11:00:47;Sell;0.04;XAUUSD;2399.09;0.04;2024.04.12 11:46:15;2395.13;;;15.84
2024.04.12 11:00:48;Sell;0.04;XAUUSD;2399.03;0.04;2024.04.12 11:46:14;2395.13;;;15.6
2024.04.12 11:00:49;Sell;0.04;XAUUSD;2399.6;0.04;2024.04.12 11:46:13;2395.13;;;17.88
2024.04.12 10:58:11;Buy;0.04;XAUUSD;2399.87;0.04;2024.04.12 11:00:45;2399.17;;;-2.8
2024.04.12 10:58:10;Buy;0.04;XAUUSD;2399.84;0.04;2024.04.12 11:00:41;2399.08;;;-3.04
2024.04.12 10:21:43;Sell;0.04;XAUUSD;2396.56;0.04;2024.04.12 10:58:08;2399.55;;;-11.96
2024.04.12 10:24:06;Sell;0.04;XAUUSD;2395.28;0.04;2024.04.12 10:58:07;2399.39;;;-16.44
2024.04.12 10:14:07;Buy;0.04;XAUUSD;2397.41;0.04;2024.04.12 10:19:38;2396.99;;;-1.6800000000000002
2024.04.12 10:14:08;Buy;0.04;XAUUSD;2397.47;0.04;2024.04.12 10:19:36;2396.91;;;-2.24
2024.04.12 10:11:26;Sell;0.04;XAUUSD;2395.39;0.04;2024.04.12 10:12:18;2396.48;;;-4.36
2024.04.12 10:09:34;Buy;0.04;XAUUSD;2397.35;0.04;2024.04.12 10:11:11;2395.8;;;-6.2
2024.04.12 10:09:39;Buy;0.04;XAUUSD;2398.12;0.04;2024.04.12 10:11:08;2395.92;;;-8.8
2024.04.12 10:08:10;Buy;0.04;XAUUSD;2395.13;0.04;2024.04.12 10:09:22;2396.79;;;6.64
2024.04.12 09:47:32;Sell;0.04;XAUUSD;2393.49;0.04;2024.04.12 10:09:02;2395.85;;;-9.44
2024.04.12 09:43:20;Sell;0.04;XAUUSD;2391.7;0.04;2024.04.12 09:45:33;2393.81;;;-8.44
2024.04.12 09:39:00;Sell;0.04;XAUUSD;2392.07;0.04;2024.04.12 09:42:21;2393.3;;;-4.92
2024.04.12 09:34:58;Sell;0.04;XAUUSD;2390.32;0.04;2024.04.12 09:36:45;2391.64;;;-5.28
2024.04.12 09:03:14;Buy;0.04;XAUUSD;2388.12;0.04;2024.04.12 09:09:40;2385.38;;;-10.96
2024.04.12 07:52:12;Buy;0.04;XAUUSD;2386.51;0.04;2024.04.12 07:58:30;2383.785;;;-10.9
2024.04.11 15:05:37;Buy;0.04;XAUUSD;2337.33;0.04;2024.04.11 15:06:50;2338.18;;;3.4
2024.04.11 14:56:12;Sell;0.04;XAUUSD;2339.17;0.04;2024.04.11 15:05:01;2337.14;;;8.12
2024.04.11 14:37:08;Sell;0.04;XAUUSD;2336.43;0.04;2024.04.11 14:54:15;2339.66;;;-12.92
2024.04.11 11:07:20;Sell;0.04;XAUUSD;2334.36;0.04;2024.04.11 11:14:31;2333.01;;;5.4
2024.04.10 15:29:28;Buy;0.04;XAUUSD;2349.825;0.04;2024.04.10 15:30:01;2347.885;;;-7.76
2024.04.10 09:57:25;Buy;0.04;XAUUSD;2354.99;0.04;2024.04.10 10:00:50;2357.35;;;9.44
2024.04.10 08:18:25;Buy;0.04;XAUUSD;2358.245;0.04;2024.04.10 08:27:25;2359.755;;;6.04
